date,client,montant,statut,commercial,source
2026-06-01,Client A,1200,gagné,Marie,LinkedIn
2026-06-02,Client B,450,perdu,Lucas,Email
2026-06-03,Client C,800,gagné,Pierre,Site Web
2026-01-17,Delta Services,1630,gagné,Sarah,Salon
2026-01-22,EcoPrint,1550,en cours,Nadia,Recommandation
2026-01-27,Finovia,1040,gagné,Thomas,Publicité
2026-02-01,Groupe Saphir,1390,perdu,Marie,Appel sortant
2026-02-06,Hotel Miramar,1310,en cours,Lucas,LinkedIn
2026-02-11,ImmoPlus,1450,perdu,Pierre,Email
2026-02-16,Jardin Pro,1800,en cours,Sarah,Site Web
2026-02-21,Kappa Conseil,2370,gagné,Nadia,Salon
2026-02-26,Logisfera,2510,perdu,Thomas,Recommandation
2026-03-03,Maison Lumen,2210,gagné,Marie,Publicité
2026-03-08,Nexora,2130,perdu,Lucas,Appel sortant
2026-03-13,Optima RH,2270,en cours,Pierre,LinkedIn
2026-03-18,Pharma Nord,2620,gagné,Sarah,Email
2026-03-23,QualiBat,2540,en cours,Nadia,Site Web
2026-03-28,Retail&Co,3330,gagné,Thomas,Salon
2026-04-02,Studio Pixel,3690,perdu,Marie,Recommandation
2026-04-07,TechnoSys,2950,en cours,Lucas,Publicité
2026-04-12,Urban Move,3090,perdu,Pierre,Appel sortant
2026-04-17,Vista Energie,3450,en cours,Sarah,LinkedIn
2026-04-22,WebFactory,3360,gagné,Nadia,Email
2026-04-27,Xeno Data,3500,perdu,Thomas,Site Web
2026-05-02,Ypsilon Formation,4510,gagné,Marie,Salon
2026-05-07,Zenith Auto,4420,perdu,Lucas,Recommandation
2026-05-12,Alto Finance,3910,en cours,Pierre,Publicité
2026-05-17,Bloom Media,4270,gagné,Sarah,Appel sortant
2026-05-22,Cobalt Industrie,4190,en cours,Nadia,LinkedIn
2026-05-27,Domus Care,4320,gagné,Thomas,Email
2026-06-01,Atelier Nova,4680,perdu,Marie,Site Web
2026-06-06,Bureau Atlas,5250,en cours,Lucas,Salon
2026-06-11,Cabinet Horizon,5380,perdu,Pierre,Recommandation
2026-06-16,Delta Services,5090,en cours,Sarah,Publicité
2026-06-21,EcoPrint,360,gagné,Nadia,Appel sortant
2026-01-04,Finovia,500,perdu,Thomas,LinkedIn
2026-01-09,Groupe Saphir,850,gagné,Marie,Email
2026-01-14,Hotel Miramar,770,perdu,Lucas,Site Web
2026-01-19,ImmoPlus,1560,en cours,Pierre,Salon
2026-01-24,Jardin Pro,1910,gagné,Sarah,Recommandation
2026-01-29,Kappa Conseil,1180,en cours,Nadia,Publicité
2026-02-03,Logisfera,1320,gagné,Thomas,Appel sortant
2026-02-08,Maison Lumen,1670,perdu,Marie,LinkedIn
2026-02-13,Nexora,1590,en cours,Lucas,Email
2026-02-18,Optima RH,1730,perdu,Pierre,Site Web
2026-02-23,Pharma Nord,2740,en cours,Sarah,Salon
2026-02-28,QualiBat,2650,gagné,Nadia,Recommandation
2026-03-05,Retail&Co,2140,perdu,Thomas,Publicité
